osm_id,status,place_id,resolved_name,resolved_lat,resolved_lng,reason
3578952582,resolved,ChIJGd09_Ki5lzMRbC7ZGfIP2os,Omonok,14.6392383,121.121981,
3578952583,resolved,ChIJr1Er46i5lzMR5gy37BCNUk8,Milieu Urban Comfort Food,14.6393206,121.1216307,
3578952591,resolved,ChIJ2V_ti6i5lzMRI8vRB3AdmgY,Chubbies Qcina Cafe,14.6406977,121.1220418,
3578952905,resolved,ChIJC4g0iai5lzMRSIvzGBp9Dv8,Purple & Blue Snack Bar,14.6416872,121.1218831,
3578952919,low_confidence,ChIJO9qR5_63lzMRfsk8bWfblkI,Big Red's Burgers & More,14.6061584,121.0702473,distance=6.9km>5.0km
3578952920,resolved,ChIJAVt5Laa5lzMR46RQ0eznYao,Crazy Katsu,14.6423953,121.122152,
3578952929,resolved,ChIJ7ZZfR6G5lzMRU9E-0du1YFc,Genesis Hot Pandesal,14.6478713,121.1209096,
3578952930,low_confidence,ChIJ09YjKQC3lzMR9CYWvuws2BE,Linda's Carinderia,14.6650198,121.0161162,distance=11.6km>5.0km
3579460096,resolved,ChIJV82PYeiYqTMRsCj6_VoCUDg,Asmara Urban Resort & Lifestyle Village Inc.,10.3448125,123.9108125,
3582191701,low_confidence,ChIJv9oO99GxlzMR_R6CajB9Jyc,Molave Art Gallery,14.7354042,121.0369504,distance=21.3km>5.0km
3583190230,low_confidence,ChIJFcKZLAHPkDMRynjrvPkfoqs,PAN DE GUZMAN,15.7073836,121.1029175,distance=117.6km>5.0km
3583190238,zero_results,,,,,ZERO_RESULTS
3583190240,resolved,ChIJK4DKXL-5lzMRKJXwjK2oV7Q,8-11 Eatery,14.6490267,121.1027389,
3583190241,low_confidence,ChIJAz51uksvdTERGyysgsbg9qw,Cee's Eatery,10.7730413,106.6953203,distance=1620.6km>5.0km
3583190243,low_confidence,ChIJw8QSF-EayIkRNHJrYxlw_8I,Pizza Man and food zone,39.33847799999999,-76.66812879999999,distance=13735.0km>5.0km
3583190247,resolved,ChIJ42mqYaTJlzMROC-5RBS8tUg,Chooks-to-Go,14.6496549,121.1022815,
3583190248,resolved,ChIJQ9YhLCq4lzMRTUpXXH8GwTk,Andok's,14.632476,121.081891,
3583216311,resolved,ChIJf8k1sc-5lzMRaeWyT3IEQeU,Kambal Pandesal Malanday branch,14.6438068,121.0926089,
3584319093,resolved,ChIJ-9zUCBnIlzMRPsrx2AfntMo,Zoricho,14.591661,121.059829,
3585772793,low_confidence,ChIJGyi-yFEFsocRakE_rRvFmbA,ZamZam Mediterranean Grill & Hookah,35.5101966,-97.6192784,distance=13109.8km>5.0km
3585777563,resolved,ChIJe3qcy3K3lzMR1mZbZsjbSAg,Felicidad,14.6499953,121.0566371,
3587189535,resolved,ChIJv_h2POd4ljMRqMNz0EagHi8,Cris-Aura Swimming Pool,14.9517953,120.1981766,
3588792563,low_confidence,ChIJcSdar5m3lzMRR_knM05__Hc,Talabar Kitchen & Cafe,14.6402605,121.0353527,distance=13.4km>5.0km
