osm_id,name,fclass,finalCategory,latitude,longitude
4334962041,Light Bearers Fund. Baptist Learning School,school,Public Service,11.4212231,122.0558301
4335067661,Mercury Drug,pharmacy,Health,11.4279105,122.0563615
4335316389,Rural Bank of Pavia,bank,Public Service,10.775448,122.5421192
4335316689,OK Bank,bank,Public Service,10.7205985,122.559368
4335331193,Ikthus Main,school,Public Service,10.328465,123.9444716
4336879798,M & W,supermarket,Retail,14.2359401,121.3631388
4336909190,Saint Therese School of Arts and Sciences,school,Public Service,14.2250754,121.3698324
4336909191,Alfamart,supermarket,Retail,14.2306291,121.3653699
4337343689,BDO,bank,Public Service,14.6333589,121.0184221
4337828352,Pinamalayan Adventist Elementary School,school,Public Service,13.0348083,121.4827833
4337861189,Eastern Pangasinan Veterinary Clinic,veterinary,Health,16.027099,120.7461133
4338164993,Prosperity,supermarket,Retail,15.4810914,120.9603495
4338176484,Rosales Medical Clinic,clinic,Health,15.4834794,120.9587739
4338240390,RRJ,clothes,Retail,15.7932285,120.9909898
4338274189,Index Salon,hairdresser,Other,15.7932825,120.9910419
4338380893,PSBank,bank,Public Service,14.0703474,121.3094795
4338393391,PNB,bank,Public Service,14.6498385,120.9727223
4338613881,Atate Barangay Hall,town_hall,Public Service,15.5521507,121.1056707
4338751718,Jhanis Music and Sports,sports_shop,Retail,14.6002223,120.9833883
4338751720,Mercury Drug,pharmacy,Health,14.5643203,120.9945561
4339498189,Blue Windbell,department_store,Retail,15.792734,120.991469
4339698599,Metrobank,bank,Public Service,16.4426735,120.5927652
4340560090,EastWest Unibank,bank,Public Service,14.7908145,121.071982
4340896089,City Veterinary Office,veterinary,Health,14.3952983,121.0447368
4340926711,Three Sixty Pharmacy,pharmacy,Health,10.2748925,123.9754004
4340934026,PBCOM,bank,Public Service,10.3105898,123.8967439
4340934597,Asia United Bank,bank,Public Service,10.3110416,123.898272
4340937722,Alaska Mambaling Barangay Health Center,clinic,Health,10.2895124,123.8818025
4340940589,Pardo Health Center,doctors,Health,10.2792119,123.8556026
4340954689,Healthy Pets Animal Clinic & Dog Grooming Center,veterinary,Health,14.3889341,120.9674739
4341026999,San Mateo Municipal College,college,Public Service,14.6968445,121.1208713
4341830289,Ongkingco Dental Clinic & Laboratory,dentist,Health,7.0525821,125.5939826
4342464492,Robinsons Supermarket,supermarket,Retail,11.0251671,124.60499
4342466390,SALVEO San Pedro,clinic,Health,14.3663481,121.0520659
4342778609,Castillejos Aldergate Learning Center,school,Public Service,14.9315155,120.1995804
4342787332,Castillejos Fire Station,fire_station,Public Service,14.9322286,120.1996391
4342797936,Aeta Children's Home School,school,Public Service,14.8978332,120.2067021
4342875990,Marikina Greenheights Learning Center,kindergarten,Public Service,14.6669682,121.1099979
